image_path,information_type,identifiability,activity_sensitivity,location_sensitivity,blur_presence,sharing_allowance
img1376.jpg,"[1,1,1,0,0,1,0,0]",2.0,1.0,1.0,0.0,"[1,0,0,0,0,0]"
img1473.jpg,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]"
img1481.jpg,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]"
img1546.jpg,"[0,0,0,0,0,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,1,1]"
img1691.jpg,"[1,1,1,0,0,0,0,0]",1.0,0.0,0.0,0.0,"[0,1,1,1,0,0]"
img1763.jpg,"[0,0,0,0,0,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,1,1]"
img1779.jpg,"[0,0,0,0,0,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,1,1]"
img1986.jpg,"[0,0,0,0,0,1,0,0]",0.0,0.0,1.0,0.0,"[0,1,1,1,0,0]"
img2020.jpg,"[1,0,0,1,0,0,0,0]",1.0,0.0,0.0,1.0,"[0,1,0,0,0,0]"
img2097.jpg,"[0,0,1,0,0,0,0,0]",0.0,0.0,2.0,0.0,"[0,1,1,1,0,0]"
img2312.jpg,"[1,0,1,1,0,0,0,0]",2.0,0.0,0.0,0.0,"[1,0,0,0,0,0]"
img2358.jpg,"[1,0,1,0,0,0,0,0]",2.0,2.0,0.0,0.0,"[1,0,0,0,0,0]"
img2362.jpg,"[1,0,1,0,0,0,0,0]",2.0,2.0,0.0,0.0,"[1,0,0,0,0,0]"
img2667.jpg,"[1,0,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]"
img2692.jpg,"[0,0,0,0,1,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,1,1]"
img2701.jpg,"[0,0,0,0,1,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,1,1]"
img272.jpg,"[1,1,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]"
img2810.jpg,"[0,0,0,0,1,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,1,1]"
img2910.jpg,"[0,0,0,0,1,0,0,0]",0.0,1.0,0.0,0.0,"[0,1,1,1,0,0]"
img2959.jpg,"[1,0,0,1,0,0,0,0]",2.0,0.0,0.0,0.0,"[1,0,0,0,0,0]"
img3006.jpg,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,0,0,0,0]"
img3016.jpg,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,0,0,0,0]"
img3053.jpg,"[1,1,0,0,0,0,0,0]",2.0,2.0,2.0,0.0,"[0,1,0,0,0,0]"
img3063.jpg,"[0,0,1,0,0,0,0,0]",0.0,0.0,1.0,0.0,"[0,1,0,0,0,0]"
img3156.jpg,"[1,0,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]"
img3164.jpg,"[1,0,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]"
img32.jpg,"[1,0,0,1,1,0,1,0]",1.0,2.0,1.0,0.0,"[0,1,1,0,0,0]"
img3335.jpg,"[1,0,1,0,0,0,0,0]",2.0,0.0,0.0,1.0,"[0,1,0,0,0,0]"
img3757.jpg,"[0,0,0,0,0,0,1,0]",0.0,2.0,0.0,,"[0,1,1,0,0,0]"
img3767.jpg,"[1,0,0,0,0,0,1,0]",2.0,1.0,0.0,0.0,"[0,1,1,0,0,0]"
img3878.jpg,"[0,0,1,0,0,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,1,1]"
img391.jpg,"[0,0,0,0,0,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,1,1]"
img4245.jpg,"[1,0,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]"
img4273.jpg,"[0,1,0,0,0,1,0,0]",0.0,0.0,1.0,0.0,"[0,1,1,1,0,0]"
img4310.jpg,"[0,0,1,0,0,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,0,0]"
img4384.jpg,"[0,0,0,0,0,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,0,0]"
img4624.jpg,"[0,0,0,0,0,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,0,0]"
img4692.jpg,"[1,0,0,1,0,0,0,0]",2.0,0.0,1.0,,"[0,1,1,0,0,0]"
img4699.jpg,"[0,0,0,0,0,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,1,1]"
img478.jpg,"[1,0,0,0,1,0,0,0]",1.0,0.0,0.0,0.0,"[0,1,1,1,0,0]"
img4876.jpg,"[1,0,1,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]"
img488.jpg,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]"
img4903.jpg,"[0,1,0,0,0,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,0,0]"
img4999.jpg,"[0,0,0,0,0,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,1,1]"
img529.jpg,"[1,0,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]"
img620.jpg,"[1,1,0,0,0,1,0,0]",2.0,1.0,1.0,0.0,"[0,1,0,0,0,0]"
